Сумма	Текущая дата	Накопительная сумма	Статус	Бесконечность	Чек	Количество	Цена	Артикул	Дата
2144	25.02.2026	?	002	2144	IT010010	1	2144	0100597	01.03.2013
919	25.02.2026	?	002	919	IT010011	1	919	0100598	01.03.2013
798	25.02.2026	?	002	798	IT010011	1	798	0102341	01.03.2013
1007	25.02.2026	?	002	1007	IT010012	1	1007	0102342	01.03.2013
35264	25.02.2026	?	001	35264	IT010012	1	35264	0102392	01.03.2013
742	25.02.2026	?	002	371	IT010013	2	371	0102478	01.03.2013
1992	25.02.2026	?	002	996	IT010013	2	996	0102491	01.03.2013
1032	25.02.2026	?	002	1032	IT010014	1	1032	0102492	01.03.2013
1032	25.02.2026	?	002	1032	IT010015	1	1032	0102493	01.03.2013
35264	25.02.2026	?	001	35264	IT010015	1	35264	0102548	01.03.2013
371	25.02.2026	?	002	371	IT010016	1	371	0102549	01.03.2013
1396	25.02.2026	?	002	1396	IT010016	1	1396	0102584	01.03.2013
1992	25.02.2026	?	002	996	IT010017	2	996	0102721	01.03.2013
2064	25.02.2026	?	002	1032	IT010017	2	1032	0102722	01.03.2013
337	25.02.2026	?	002	337	IT010017	1	337	0102723	01.03.2013
6320	25.02.2026	?	002	6320	IT010017	1	6320	0103152	01.03.2013
1922	25.02.2026	?	002	1922	IT010017	1	1922	0105757	01.03.2013
736	25.02.2026	?	002	736	IT010018	1	736	0105759	01.03.2013
2119	25.02.2026	?	002	2119	IT010018	1	2119	0110145	01.03.2013
1439	25.02.2026	?	002	1439	IT010018	1	1439	0101041	01.03.2013
423	25.02.2026	?	002	423	IT010019	1	423	0105755	01.03.2013
1839	25.02.2026	?	002	1839	IT010019	1	1839	0102313	01.03.2013
1592	25.02.2026	?	002	1592	IT0100110	1	1592	0102339	01.03.2013
1592	25.02.2026	?	002	1592	IT0100110	1	1592	0102578	01.03.2013
7040	25.02.2026	?	002	7040	IT0100111	1	7040	0102440	01.03.2013
4392	25.02.2026	?	002	4392	IT0100111	1	4392	0102454	01.03.2013
1739	25.02.2026	?	002	1739	IT0100112	1	1739	0102461	01.03.2013
2318	25.02.2026	?	002	2318	IT0100112	1	2318	0102467	01.03.2013
4959	25.02.2026	?	002	4959	IT0100113	1	4959	0101326	01.03.2013
6072	25.02.2026	?	002	6072	IT0100113	1	6072	0101329	01.03.2013
4792	25.02.2026	?	002	4792	IT0100114	1	4792	0101330	01.03.2013
4278	25.02.2026	?	002	4278	IT0100115	1	4278	0101339	01.03.2013
1936	25.02.2026	?	002	968	IT0100116	2	968	0111515	01.03.2013
9191	25.02.2026	?	002	9191	IT0100116	1	9191	0101332	02.03.2013
7040	25.02.2026	?	002	7040	IT0100116	1	7040	0102440	02.03.2013
2194	25.02.2026	?	002	2194	IT0100116	1	2194	0102442	02.03.2013
2194	25.02.2026	?	002	2194	IT0100117	1	2194	0102447	02.03.2013
4392	25.02.2026	?	002	4392	IT0100118	1	4392	0102454	02.03.2013
3478	25.02.2026	?	002	1739	IT0100119	2	1739	0102461	02.03.2013
3984	25.02.2026	?	002	3984	IT0100119	1	3984	0102469	02.03.2013
3984	25.02.2026	?	002	3984	IT0100120	1	3984	0102470	02.03.2013
3984	25.02.2026	?	002	3984	IT0100121	1	3984	0102471	02.03.2013
17592	25.02.2026	?	002	17592	IT0100121	1	17592	0102474	02.03.2013
4819	25.02.2026	?	002	4819	IT0100121	1	4819	0101323	02.03.2013
4959	25.02.2026	?	002	4959	IT0100122	1	4959	0101326	02.03.2013
6072	25.02.2026	?	002	6072	IT0100122	1	6072	0101329	02.03.2013
21244	25.02.2026	?	001	10622	IT0100123	2	10622	0101336	02.03.2013
6350	25.02.2026	?	002	6350	IT0100124	1	6350	0101337	02.03.2013
4278	25.02.2026	?	002	4278	IT0100124	1	4278	0101339	02.03.2013
2184	25.02.2026	?	002	2184	IT0100124	1	2184	0111513	02.03.2013
11920	25.02.2026	?	002	11920	IT0100124	1	11920	0102439	02.03.2013
4392	25.02.2026	?	002	4392	IT0100125	1	4392	0102444	02.03.2013
6696	25.02.2026	?	002	6696	IT0100125	1	6696	0102453	02.03.2013
1920	25.02.2026	?	002	1920	IT0100126	1	1920	0100600	02.03.2013
4278	25.02.2026	?	002	4278	IT0100127	1	4278	0101339	02.03.2013
35188	25.02.2026	?	001	35188	IT0100127	1	35188	0102377	02.03.2013
11920	25.02.2026	?	002	11920	IT0100127	1	11920	0102439	02.03.2013
6696	25.02.2026	?	002	6696	IT0100128	1	6696	0102453	02.03.2013
3984	25.02.2026	?	002	3984	IT0100129	1	3984	0102470	02.03.2013
1396	25.02.2026	?	002	1396	IT0100130	1	1396	0102482	02.03.2013
996	25.02.2026	?	002	996	IT0100130	1	996	0102491	02.03.2013
1032	25.02.2026	?	002	1032	IT0100130	1	1032	0102492	02.03.2013
1032	25.02.2026	?	002	1032	IT0100131	1	1032	0102493	02.03.2013
70528	25.02.2026	?	001	35264	IT0100131	2	35264	0102548	02.03.2013
1396	25.02.2026	?	002	1396	IT0100132	1	1396	0102584	02.03.2013
996	25.02.2026	?	002	996	IT0100132	1	996	0102721	02.03.2013
1032	25.02.2026	?	002	1032	IT0100132	1	1032	0102722	02.03.2013
337	25.02.2026	?	002	337	IT0100133	1	337	0102723	02.03.2013
1999	25.02.2026	?	002	1999	IT0100134	1	1999	0103151	02.03.2013
6320	25.02.2026	?	002	6320	IT0100134	1	6320	0103152	02.03.2013
1439	25.02.2026	?	002	1439	IT0100135	1	1439	0105735	02.03.2013
1922	25.02.2026	?	002	1922	IT0100135	1	1922	0105736	02.03.2013
399	25.02.2026	?	002	399	IT0100136	1	399	0105743	02.03.2013
560	25.02.2026	?	002	560	IT0100136	1	560	0105747	02.03.2013
1472	25.02.2026	?	002	736	IT0100136	2	736	0105759	02.03.2013
1592	25.02.2026	?	002	1592	IT0100136	1	1592	0102307	02.03.2013
1592	25.02.2026	?	002	1592	IT0100137	1	1592	0102310	02.03.2013
3032	25.02.2026	?	002	3032	IT0100137	1	3032	0102312	02.03.2013
1839	25.02.2026	?	002	1839	IT0100138	1	1839	0102313	02.03.2013
5712	25.02.2026	?	002	2856	IT0100139	2	2856	0102436	02.03.2013
11920	25.02.2026	?	002	11920	IT0100139	1	11920	0102439	02.03.2013
4388	25.02.2026	?	002	2194	IT0100140	2	2194	0102442	02.03.2013
4392	25.02.2026	?	002	4392	IT0100141	1	4392	0102444	02.03.2013
2194	25.02.2026	?	002	2194	IT0100141	1	2194	0102447	02.03.2013
6696	25.02.2026	?	002	6696	IT0100142	1	6696	0102453	02.03.2013
17592	25.02.2026	?	002	17592	IT0100142	1	17592	0102474	02.03.2013
564	25.02.2026	?	002	564	IT0100142	1	564	0110485	02.03.2013
798	25.02.2026	?	002	798	IT0100143	1	798	0102341	02.03.2013
6320	25.02.2026	?	002	6320	IT0100143	1	6320	0102381	02.03.2013
35188	25.02.2026	?	001	35188	IT0100144	1	35188	0102398	02.03.2013
337	25.02.2026	?	002	337	IT0100144	1	337	0102486	02.03.2013
1032	25.02.2026	?	002	1032	IT0100145	1	1032	0102493	02.03.2013
1396	25.02.2026	?	002	1396	IT0100146	1	1396	0102584	02.03.2013
736	25.02.2026	?	002	736	IT0100147	1	736	0105759	02.03.2013
2144	25.02.2026	?	002	2144	IT0100147	1	2144	0100597	02.03.2013
1592	25.02.2026	?	002	1592	IT0100148	1	1592	0102307	02.03.2013
1592	25.02.2026	?	002	1592	IT0100148	1	1592	0102310	02.03.2013
1839	25.02.2026	?	002	1839	IT0100149	1	1839	0102313	02.03.2013
1599	25.02.2026	?	002	1599	IT0100149	1	1599	0102330	02.03.2013
1592	25.02.2026	?	002	1592	IT0100150	1	1592	0102306	02.03.2013
1592	25.02.2026	?	002	1592	IT0100151	1	1592	0102308	02.03.2013
1592	25.02.2026	?	002	1592	IT0100152	1	1592	0102309	02.03.2013
11920	25.02.2026	?	002	11920	IT0100152	1	11920	0102439	03.03.2013
1599	25.02.2026	?	002	1599	IT0100152	1	1599	0102329	03.03.2013
1839	25.02.2026	?	002	1839	IT0100153	1	1839	0102334	03.03.2013
2144	25.02.2026	?	002	2144	IT0100153	1	2144	0100597	03.03.2013
1920	25.02.2026	?	002	1920	IT0100154	1	1920	0100600	03.03.2013
1592	25.02.2026	?	002	1592	IT0100154	1	1592	0102306	03.03.2013
3184	25.02.2026	?	002	1592	IT0100154	2	1592	0102307	03.03.2013
1592	25.02.2026	?	002	1592	IT0100155	1	1592	0102308	03.03.2013
1592	25.02.2026	?	002	1592	IT0100155	1	1592	0102309	03.03.2013
1592	25.02.2026	?	002	1592	IT0100156	1	1592	0102310	03.03.2013
3032	25.02.2026	?	002	3032	IT0100157	1	3032	0102312	03.03.2013
1839	25.02.2026	?	002	1839	IT0100157	1	1839	0102313	03.03.2013
35188	25.02.2026	?	001	35188	IT0100158	1	35188	0102377	03.03.2013
5712	25.02.2026	?	002	2856	IT0100158	2	2856	0102436	03.03.2013
2856	25.02.2026	?	002	2856	IT0100158	1	2856	0102438	03.03.2013
11920	25.02.2026	?	002	11920	IT0100158	1	11920	0102439	03.03.2013
7040	25.02.2026	?	002	7040	IT0100158	1	7040	0102440	03.03.2013
2194	25.02.2026	?	002	2194	IT0100158	1	2194	0102442	03.03.2013
8784	25.02.2026	?	002	4392	IT0100159	2	4392	0102444	03.03.2013
4388	25.02.2026	?	002	2194	IT0100159	2	2194	0102446	03.03.2013
2194	25.02.2026	?	002	2194	IT0100159	1	2194	0102447	03.03.2013
2194	25.02.2026	?	002	2194	IT0100160	1	2194	0102452	03.03.2013
6696	25.02.2026	?	002	6696	IT0100161	1	6696	0102453	03.03.2013
1739	25.02.2026	?	002	1739	IT0100161	1	1739	0102461	03.03.2013
3984	25.02.2026	?	002	3984	IT0100162	1	3984	0102469	03.03.2013
3984	25.02.2026	?	002	3984	IT0100163	1	3984	0102470	03.03.2013
3984	25.02.2026	?	002	3984	IT0100163	1	3984	0102471	03.03.2013
35184	25.02.2026	?	001	17592	IT0100163	2	17592	0102474	03.03.2013
2792	25.02.2026	?	002	1396	IT0100163	2	1396	0102482	03.03.2013
1992	25.02.2026	?	002	996	IT0100164	2	996	0102491	03.03.2013
1032	25.02.2026	?	002	1032	IT0100164	1	1032	0102492	03.03.2013
1032	25.02.2026	?	002	1032	IT0100165	1	1032	0102493	03.03.2013
35264	25.02.2026	?	001	35264	IT0100165	1	35264	0102548	03.03.2013
1396	25.02.2026	?	002	1396	IT0100165	1	1396	0102584	03.03.2013
996	25.02.2026	?	002	996	IT0100165	1	996	0102721	03.03.2013
1032	25.02.2026	?	002	1032	IT0100166	1	1032	0102722	03.03.2013
337	25.02.2026	?	002	337	IT0100167	1	337	0102723	03.03.2013
1999	25.02.2026	?	002	1999	IT0100167	1	1999	0103151	03.03.2013
6320	25.02.2026	?	002	6320	IT0100168	1	6320	0103152	03.03.2013
1439	25.02.2026	?	002	1439	IT0100168	1	1439	0105735	03.03.2013
1922	25.02.2026	?	002	1922	IT0100168	1	1922	0105736	03.03.2013
399	25.02.2026	?	002	399	IT0100169	1	399	0105743	03.03.2013
560	25.02.2026	?	002	560	IT0100170	1	560	0105747	03.03.2013
736	25.02.2026	?	002	736	IT0100170	1	736	0105759	03.03.2013
1599	25.02.2026	?	002	1599	IT0100171	1	1599	0102335	03.03.2013
610	25.02.2026	?	002	610	IT0100171	1	610	0110488	03.03.2013
700	25.02.2026	?	002	700	IT0100171	1	700	0110491	03.03.2013
1848	25.02.2026	?	002	1848	IT0100172	1	1848	0110495	03.03.2013
960	25.02.2026	?	002	960	IT0100172	1	960	0110496	03.03.2013
610	25.02.2026	?	002	610	IT0100173	1	610	0110488	03.03.2013
12144	25.02.2026	?	002	6072	IT0100174	2	6072	0101329	03.03.2013
10622	25.02.2026	?	002	10622	IT0100175	1	10622	0101336	03.03.2013
6350	25.02.2026	?	002	6350	IT0100176	1	6350	0101337	03.03.2013
4278	25.02.2026	?	002	4278	IT0100176	1	4278	0101339	03.03.2013
1754	25.02.2026	?	002	1754	IT0100176	1	1754	0100632	03.03.2013
1439	25.02.2026	?	002	1439	IT0100176	1	1439	0105735	03.03.2013
1922	25.02.2026	?	002	1922	IT0100177	1	1922	0105736	03.03.2013
879	25.02.2026	?	002	879	IT0100177	1	879	0105738	03.03.2013
1598	25.02.2026	?	002	799	IT0100177	2	799	0109013	03.03.2013
4819	25.02.2026	?	002	4819	IT0100178	1	4819	0101323	03.03.2013
4959	25.02.2026	?	002	4959	IT0100179	1	4959	0101326	03.03.2013
6072	25.02.2026	?	002	6072	IT0100179	1	6072	0101329	03.03.2013
9191	25.02.2026	?	002	9191	IT0100180	1	9191	0101332	03.03.2013
10622	25.02.2026	?	002	10622	IT0100181	1	10622	0101336	03.03.2013
6350	25.02.2026	?	002	6350	IT0100181	1	6350	0101337	03.03.2013
4278	25.02.2026	?	002	4278	IT0100182	1	4278	0101339	03.03.2013
7040	25.02.2026	?	002	7040	IT0100182	1	7040	0102440	03.03.2013
2194	25.02.2026	?	002	2194	IT0100183	1	2194	0102442	03.03.2013
4392	25.02.2026	?	002	4392	IT0100184	1	4392	0102444	03.03.2013
4388	25.02.2026	?	002	2194	IT0100184	2	2194	0102447	03.03.2013
6696	25.02.2026	?	002	6696	IT0100184	1	6696	0102453	03.03.2013
4392	25.02.2026	?	002	4392	IT0100185	1	4392	0102454	03.03.2013
1739	25.02.2026	?	002	1739	IT0100185	1	1739	0102461	03.03.2013
3984	25.02.2026	?	002	3984	IT0100186	1	3984	0102469	03.03.2013
3984	25.02.2026	?	002	3984	IT0100187	1	3984	0102470	03.03.2013
3984	25.02.2026	?	002	3984	IT0100187	1	3984	0102471	03.03.2013
17592	25.02.2026	?	002	17592	IT0100188	1	17592	0102474	03.03.2013
2184	25.02.2026	?	002	2184	IT0100189	1	2184	0111513	03.03.2013
371	25.02.2026	?	002	371	IT0100189	1	371	0102479	03.03.2013
1032	25.02.2026	?	002	1032	IT0100190	1	1032	0102493	03.03.2013
1592	25.02.2026	?	002	1592	IT0100190	1	1592	0102578	03.03.2013
1396	25.02.2026	?	002	1396	IT0100191	1	1396	0102584	03.03.2013
996	25.02.2026	?	002	996	IT0100192	1	996	0102721	03.03.2013
337	25.02.2026	?	002	337	IT0100193	1	337	0102723	03.03.2013
423	25.02.2026	?	002	423	IT0100193	1	423	0105755	03.03.2013
1472	25.02.2026	?	002	736	IT0100193	2	736	0105759	03.03.2013
2119	25.02.2026	?	002	2119	IT0100194	1	2119	0110145	03.03.2013
2856	25.02.2026	?	002	2856	IT0100194	1	2856	0102436	04.03.2013
2856	25.02.2026	?	002	2856	IT0100195	1	2856	0102438	04.03.2013
7040	25.02.2026	?	002	7040	IT0100195	1	7040	0102440	04.03.2013
2194	25.02.2026	?	002	2194	IT0100196	1	2194	0102442	04.03.2013
2194	25.02.2026	?	002	2194	IT0100196	1	2194	0102446	04.03.2013
1739	25.02.2026	?	002	1739	IT0100197	1	1739	0102461	04.03.2013
17592	25.02.2026	?	002	17592	IT0100198	1	17592	0102474	04.03.2013
11920	25.02.2026	?	002	11920	IT0100198	1	11920	0102439	04.03.2013
4392	25.02.2026	?	002	4392	IT0100198	1	4392	0102444	04.03.2013
13392	25.02.2026	?	002	6696	IT0100199	2	6696	0102453	04.03.2013
3984	25.02.2026	?	002	3984	IT0100199	1	3984	0102470	04.03.2013
3984	25.02.2026	?	002	3984	IT01001100	1	3984	0102471	04.03.2013
6072	25.02.2026	?	002	6072	IT01001101	1	6072	0101329	04.03.2013
8556	25.02.2026	?	002	4278	IT01001101	2	4278	0101339	04.03.2013
1754	25.02.2026	?	002	1754	IT01001102	1	1754	0100632	04.03.2013
1439	25.02.2026	?	002	1439	IT01001103	1	1439	0105735	04.03.2013
1922	25.02.2026	?	002	1922	IT01001103	1	1922	0105736	04.03.2013
879	25.02.2026	?	002	879	IT01001104	1	879	0105738	04.03.2013
423	25.02.2026	?	002	423	IT01001105	1	423	0105755	04.03.2013
736	25.02.2026	?	002	736	IT01001105	1	736	0105759	04.03.2013
799	25.02.2026	?	002	799	IT01001106	1	799	0109013	04.03.2013
4238	25.02.2026	?	002	2119	IT01001107	2	2119	0110145	04.03.2013
1439	25.02.2026	?	002	1439	IT01001107	1	1439	0101041	04.03.2013
4792	25.02.2026	?	002	4792	IT01001108	1	4792	0100636	04.03.2013
799	25.02.2026	?	002	799	IT01001108	1	799	0100649	04.03.2013
1664	25.02.2026	?	002	1664	IT01001108	1	1664	0101028	04.03.2013
2878	25.02.2026	?	002	1439	IT01001108	2	1439	0105735	04.03.2013
35188	25.02.2026	?	001	35188	IT01001109	1	35188	0102377	04.03.2013
1922	25.02.2026	?	002	1922	IT01001109	1	1922	0105736	04.03.2013
423	25.02.2026	?	002	423	IT01001110	1	423	0105755	04.03.2013
1922	25.02.2026	?	002	1922	IT01001110	1	1922	0105757	04.03.2013
736	25.02.2026	?	002	736	IT01001110	1	736	0105759	04.03.2013
1039	25.02.2026	?	002	1039	IT01001111	1	1039	0110142	04.03.2013
6320	25.02.2026	?	002	6320	IT01001112	1	6320	0102382	04.03.2013
1396	25.02.2026	?	002	1396	IT01001112	1	1396	0102482	04.03.2013
1396	25.02.2026	?	002	1396	IT01001113	1	1396	0102483	04.03.2013
1032	25.02.2026	?	002	1032	IT01001114	1	1032	0102493	04.03.2013
1396	25.02.2026	?	002	1396	IT01001114	1	1396	0102584	04.03.2013
832	25.02.2026	?	002	832	IT01001114	1	832	0102340	04.03.2013
1007	25.02.2026	?	002	1007	IT01001114	1	1007	0102342	04.03.2013
6350	25.02.2026	?	002	6350	IT01001115	1	6350	0101337	04.03.2013
371	25.02.2026	?	002	371	IT01001116	1	371	0102479	04.03.2013
1032	25.02.2026	?	002	1032	IT01001116	1	1032	0102493	04.03.2013
3184	25.02.2026	?	002	1592	IT01001117	2	1592	0102578	04.03.2013
1396	25.02.2026	?	002	1396	IT01001117	1	1396	0102584	04.03.2013
996	25.02.2026	?	002	996	IT01001117	1	996	0102721	04.03.2013
337	25.02.2026	?	002	337	IT01001118	1	337	0102723	04.03.2013
10622	25.02.2026	?	002	10622	IT01001119	1	10622	0101336	04.03.2013
2194	25.02.2026	?	002	2194	IT01001119	1	2194	0102447	04.03.2013
2194	25.02.2026	?	002	2194	IT01001120	1	2194	0102452	04.03.2013
3984	25.02.2026	?	002	3984	IT01001120	1	3984	0102469	04.03.2013
1592	25.02.2026	?	002	1592	IT01001121	1	1592	0102307	04.03.2013
1592	25.02.2026	?	002	1592	IT01001122	1	1592	0102310	04.03.2013
3678	25.02.2026	?	002	1839	IT01001123	2	1839	0102313	04.03.2013
1599	25.02.2026	?	002	1599	IT01001123	1	1599	0102330	04.03.2013
1439	25.02.2026	?	002	1439	IT01001124	1	1439	0101041	05.03.2013
35264	25.02.2026	?	001	35264	IT01001124	1	35264	0102392	05.03.2013
371	25.02.2026	?	002	371	IT01001125	1	371	0102478	05.03.2013
996	25.02.2026	?	002	996	IT01001125	1	996	0102491	05.03.2013
423	25.02.2026	?	002	423	IT01001125	1	423	0105755	05.03.2013
1922	25.02.2026	?	002	1922	IT01001126	1	1922	0105757	05.03.2013
736	25.02.2026	?	002	736	IT01001126	1	736	0105759	05.03.2013
2119	25.02.2026	?	002	2119	IT01001126	1	2119	0110145	05.03.2013
4959	25.02.2026	?	002	4959	IT01001126	1	4959	0101326	05.03.2013
9191	25.02.2026	?	002	9191	IT01001127	1	9191	0101332	05.03.2013
1592	25.02.2026	?	002	1592	IT01001128	1	1592	0102306	05.03.2013
1592	25.02.2026	?	002	1592	IT01001128	1	1592	0102307	05.03.2013
3184	25.02.2026	?	002	1592	IT01001128	2	1592	0102308	05.03.2013
1592	25.02.2026	?	002	1592	IT01001128	1	1592	0102309	05.03.2013
1592	25.02.2026	?	002	1592	IT01001128	1	1592	0102310	05.03.2013
1839	25.02.2026	?	002	1839	IT01001129	1	1839	0102311	05.03.2013
3032	25.02.2026	?	002	3032	IT01001129	1	3032	0102312	05.03.2013
1839	25.02.2026	?	002	1839	IT01001129	1	1839	0102313	05.03.2013
1592	25.02.2026	?	002	1592	IT01001130	1	1592	0102339	05.03.2013
1592	25.02.2026	?	002	1592	IT01001130	1	1592	0102578	05.03.2013
2856	25.02.2026	?	002	2856	IT01001130	1	2856	0102436	05.03.2013
11920	25.02.2026	?	002	11920	IT01001131	1	11920	0102439	05.03.2013
6696	25.02.2026	?	002	6696	IT01001131	1	6696	0102453	05.03.2013
4819	25.02.2026	?	002	4819	IT01001131	1	4819	0101323	05.03.2013
4959	25.02.2026	?	002	4959	IT01001132	1	4959	0101326	05.03.2013
6072	25.02.2026	?	002	6072	IT01001132	1	6072	0101329	05.03.2013
9191	25.02.2026	?	002	9191	IT01001133	1	9191	0101332	05.03.2013
10622	25.02.2026	?	002	10622	IT01001133	1	10622	0101336	05.03.2013
6350	25.02.2026	?	002	6350	IT01001134	1	6350	0101337	05.03.2013
4278	25.02.2026	?	002	4278	IT01001134	1	4278	0101339	05.03.2013
7040	25.02.2026	?	002	7040	IT01001135	1	7040	0102440	05.03.2013
2194	25.02.2026	?	002	2194	IT01001136	1	2194	0102442	05.03.2013
4392	25.02.2026	?	002	4392	IT01001136	1	4392	0102444	05.03.2013
2194	25.02.2026	?	002	2194	IT01001137	1	2194	0102447	05.03.2013
6696	25.02.2026	?	002	6696	IT01001137	1	6696	0102453	05.03.2013
4392	25.02.2026	?	002	4392	IT01001138	1	4392	0102454	05.03.2013
1739	25.02.2026	?	002	1739	IT01001139	1	1739	0102461	05.03.2013
3984	25.02.2026	?	002	3984	IT01001140	1	3984	0102469	05.03.2013
7968	25.02.2026	?	002	3984	IT01001141	2	3984	0102470	05.03.2013
3984	25.02.2026	?	002	3984	IT01001141	1	3984	0102471	05.03.2013
17592	25.02.2026	?	002	17592	IT01001142	1	17592	0102474	05.03.2013
2184	25.02.2026	?	002	2184	IT01001142	1	2184	0111513	05.03.2013
2144	25.02.2026	?	002	2144	IT01001142	1	2144	0100597	05.03.2013
919	25.02.2026	?	002	919	IT01001142	1	919	0100598	05.03.2013
798	25.02.2026	?	002	798	IT01001143	1	798	0102341	05.03.2013
1007	25.02.2026	?	002	1007	IT01001144	1	1007	0102342	05.03.2013
1032	25.02.2026	?	002	1032	IT01001145	1	1032	0102492	05.03.2013
1032	25.02.2026	?	002	1032	IT01001145	1	1032	0102493	05.03.2013
70528	25.02.2026	?	001	35264	IT01001146	2	35264	0102548	05.03.2013
371	25.02.2026	?	002	371	IT01001146	1	371	0102549	05.03.2013
1396	25.02.2026	?	002	1396	IT01001147	1	1396	0102584	05.03.2013
996	25.02.2026	?	002	996	IT01001148	1	996	0102721	05.03.2013
1032	25.02.2026	?	002	1032	IT01001148	1	1032	0102722	05.03.2013
337	25.02.2026	?	002	337	IT01001148	1	337	0102723	05.03.2013
6320	25.02.2026	?	002	6320	IT01001148	1	6320	0103152	05.03.2013
3984	25.02.2026	?	002	3984	IT01001149	1	3984	0102419	05.03.2013
4010	25.02.2026	?	002	4010	IT01001149	1	4010	0102420	05.03.2013
2856	25.02.2026	?	002	2856	IT01001150	1	2856	0102425	05.03.2013
2856	25.02.2026	?	002	2856	IT01001151	1	2856	0102426	05.03.2013
2856	25.02.2026	?	002	2856	IT01001151	1	2856	0102431	05.03.2013
4010	25.02.2026	?	002	4010	IT01001151	1	4010	0102432	05.03.2013
4388	25.02.2026	?	002	2194	IT01001151	2	2194	0102442	05.03.2013
2194	25.02.2026	?	002	2194	IT01001152	1	2194	0102447	05.03.2013
3984	25.02.2026	?	002	3984	IT01001152	1	3984	0102469	05.03.2013
7968	25.02.2026	?	002	3984	IT01001152	2	3984	0102470	05.03.2013
3984	25.02.2026	?	002	3984	IT01001152	1	3984	0102471	05.03.2013
1592	25.02.2026	?	002	1592	IT01001153	1	1592	0102307	05.03.2013
1592	25.02.2026	?	002	1592	IT01001153	1	1592	0102310	05.03.2013
1839	25.02.2026	?	002	1839	IT01001153	1	1839	0102313	05.03.2013
1599	25.02.2026	?	002	1599	IT01001154	1	1599	0102330	05.03.2013
11920	25.02.2026	?	002	11920	IT01001155	1	11920	0102439	05.03.2013
2144	25.02.2026	?	002	2144	IT01001156	1	2144	0100597	05.03.2013
1920	25.02.2026	?	002	1920	IT01001156	1	1920	0100600	05.03.2013
1592	25.02.2026	?	002	1592	IT01001156	1	1592	0102306	05.03.2013
3184	25.02.2026	?	002	1592	IT01001157	2	1592	0102307	05.03.2013
3184	25.02.2026	?	002	1592	IT01001158	2	1592	0102308	05.03.2013
1592	25.02.2026	?	002	1592	IT01001158	1	1592	0102309	05.03.2013
1592	25.02.2026	?	002	1592	IT01001159	1	1592	0102310	05.03.2013
3032	25.02.2026	?	002	3032	IT01001160	1	3032	0102312	05.03.2013
1839	25.02.2026	?	002	1839	IT01001161	1	1839	0102313	05.03.2013
35188	25.02.2026	?	001	35188	IT01001161	1	35188	0102377	05.03.2013
2792	25.02.2026	?	002	1396	IT01001162	2	1396	0102482	05.03.2013
996	25.02.2026	?	002	996	IT01001162	1	996	0102491	05.03.2013
1032	25.02.2026	?	002	1032	IT01001163	1	1032	0102492	05.03.2013
1032	25.02.2026	?	002	1032	IT01001163	1	1032	0102493	05.03.2013
35264	25.02.2026	?	001	35264	IT01001164	1	35264	0102548	05.03.2013
1396	25.02.2026	?	002	1396	IT01001165	1	1396	0102584	05.03.2013
996	25.02.2026	?	002	996	IT01001165	1	996	0102721	05.03.2013
1032	25.02.2026	?	002	1032	IT01001166	1	1032	0102722	05.03.2013
337	25.02.2026	?	002	337	IT01001166	1	337	0102723	05.03.2013
1999	25.02.2026	?	002	1999	IT01001167	1	1999	0103151	05.03.2013
6320	25.02.2026	?	002	6320	IT01001167	1	6320	0103152	05.03.2013
1439	25.02.2026	?	002	1439	IT01001168	1	1439	0105735	05.03.2013
1922	25.02.2026	?	002	1922	IT01001168	1	1922	0105736	05.03.2013
399	25.02.2026	?	002	399	IT01001169	1	399	0105743	05.03.2013
1120	25.02.2026	?	002	560	IT01001169	2	560	0105747	05.03.2013
736	25.02.2026	?	002	736	IT01001170	1	736	0105759	05.03.2013
4959	25.02.2026	?	002	4959	IT01001170	1	4959	0101326	06.03.2013
6072	25.02.2026	?	002	6072	IT01001170	1	6072	0101329	06.03.2013
4792	25.02.2026	?	002	4792	IT01001171	1	4792	0101330	06.03.2013
8556	25.02.2026	?	002	4278	IT01001172	2	4278	0101339	06.03.2013
610	25.02.2026	?	002	610	IT01001173	1	610	0110488	06.03.2013
4959	25.02.2026	?	002	4959	IT01001173	1	4959	0101326	06.03.2013
6072	25.02.2026	?	002	6072	IT01001174	1	6072	0101329	06.03.2013
9584	25.02.2026	?	002	4792	IT01001174	2	4792	0101330	06.03.2013
9191	25.02.2026	?	002	9191	IT01001174	1	9191	0101332	06.03.2013
10622	25.02.2026	?	002	10622	IT01001175	1	10622	0101336	06.03.2013
4278	25.02.2026	?	002	4278	IT01001176	1	4278	0101339	06.03.2013
3992	25.02.2026	?	002	3992	IT01001176	1	3992	0101340	06.03.2013
968	25.02.2026	?	002	968	IT01001176	1	968	0111515	06.03.2013
1592	25.02.2026	?	002	1592	IT01001177	1	1592	0102307	06.03.2013
1592	25.02.2026	?	002	1592	IT01001177	1	1592	0102310	06.03.2013
1839	25.02.2026	?	002	1839	IT01001178	1	1839	0102313	06.03.2013
2144	25.02.2026	?	002	2144	IT01001178	1	2144	0100597	06.03.2013
1664	25.02.2026	?	002	832	IT01001179	2	832	0102340	06.03.2013
35188	25.02.2026	?	001	35188	IT01001179	1	35188	0102397	06.03.2013
35188	25.02.2026	?	001	35188	IT01001179	1	35188	0102398	06.03.2013
1396	25.02.2026	?	002	1396	IT01001180	1	1396	0102483	06.03.2013
1032	25.02.2026	?	002	1032	IT01001180	1	1032	0102493	06.03.2013
